Date,Daily Crashes,Daily Crashes Divided
2021-06,404,100.03809523809524
2021-07,506,181.64102564102564
2021-08,397,113.42857142857143
2021-09,450,106.36363636363636
2021-10,618,176.57142857142858
2021-11,944,257.45454545454544
2021-12,1743,469.2692307692309
