Order Number,Transaction Date,Order Charged Timestamp,Transaction Type,Device Model,Product Title,Product id,Product Type,Sku Id,Currency of Sale,Item Price,Taxes Collected,Amount (Buyer Currency),City of Buyer,State of Buyer,Buyer Postal Code,Buyer Country,Base Plan ID,Offer ID
GPA.3364-6120-2813-05559,2021-11-03,1635963402,Charged,ASUS_I003_1,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,EUR,2.43,0.56,2.99,,,,PT,,
GPA.3300-2759-7487-43528,2021-11-03,1635977631,Charged,p3q,Unlock Character Manager (D20 Complete Reference),com.vansteinengroentjes.apps.ddcompletereference,inapp,unlockcharactermanager,USD,1.96,0.14,2.10,TRINIDAD,TX,75163,US,,
GPA.3313-3300-8778-25902,2021-11-03,1635978940,Charged,apollo,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,COP,"17,500.00",0.0,"17,500.00",,,700001,CO,,
GPA.3376-6506-8586-67053,2021-11-03,1635979657,Charged,ASUS_P028_1,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.51,6.00,FONTANA,KS,66071,US,,
GPA.3393-9360-2205-19227,2021-11-03,1635979700,Charged,ASUS_P028_1,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,USD,3.49,0.33,3.82,FONTANA,KS,66071,US,,
GPA.3399-0729-1452-13355,2021-11-04,1635997577,Charged,oriole,Pathfinder DM tools (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,inapp,premium,USD,2.49,0.15,2.64,ALPENA,MI,49707,US,,
GPA.3381-6316-5546-37593,2021-11-04,1635997633,Charged,oriole,Character Manager (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,inapp,unlockcharactermanager,USD,1.99,0.12,2.11,ALPENA,MI,49707,US,,
GPA.3395-4271-8267-31455,2021-11-04,1636003025,Charged,a12u,"Unlock DM tools, Dice tools and remove ads. (D20 Complete Reference)",com.vansteinengroentjes.apps.ddcompletereference,inapp,premium,USD,2.49,0.15,2.64,LAURELDALE,PA,19560,US,,
GPA.3378-0271-9744-86171,2021-11-04,1636022111,Charged,HWELE,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,GBP,3.49,0.7,4.19,,,,GB,,
GPA.3331-0055-9931-72773,2021-11-04,1636032026,Charged,borneo,Unlock Character Manager (D20 Complete Reference),com.vansteinengroentjes.apps.ddcompletereference,inapp,unlockcharactermanager,USD,1.96,0.14,2.10,Mitchell,IN,47446,US,,
GPA.3354-9183-4674-47125,2021-11-04,1636032036,Charged,borneo,"Unlock DM tools, Dice tools and remove ads. (D20 Complete Reference)",com.vansteinengroentjes.apps.ddcompletereference,inapp,premium,USD,2.49,0.17,2.66,Mitchell,IN,47446,US,,
GPA.3346-8893-6209-93750,2021-11-04,1636035910,Charged,sargo,Unlock Character Manager (D20 Complete Reference),com.vansteinengroentjes.apps.ddcompletereference,inapp,unlockcharactermanager,CAD,2.40,0.12,2.52,Calgary,AB,T2J 0T6,CA,,
GPA.3322-7454-4624-47314,2021-11-04,1636050861,Charged,beyond0,Verwijder reclame (Whisky App),com.vansteinengroentjes.apps.whisky,inapp,com.vansteinengroentjes.apps.whisky.adverts,EUR,1.50,0.32,1.82,,,,NL,,
GPA.3347-8520-2543-83711,2021-11-04,1636051310,Charged,OnePlus8,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.36,5.85,Kearny,NJ,07032,US,,
GPA.3313-3300-8778-25902,2021-11-04,1636057608,Refund,apollo,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,COP,"17,500.00",0.0,"-17,500.00",,,700001,CO,,
GPA.3399-6196-4762-75492,2021-11-04,1636067747,Charged,crownqltesq,"Unlock DM tools, Dice tools and remove ads. (D20 Complete Reference)",com.vansteinengroentjes.apps.ddcompletereference,inapp,premium,USD,2.49,0.0,2.49,Glendale,CA,91202,US,,
GPA.3384-8046-7908-11492,2021-11-04,1636068119,Charged,mh,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,CRC,"2,000.00",0.0,"2,000.00",San José,,,CR,,
GPA.3394-7011-7992-67654,2021-11-04,1636068167,Charged,mh,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,CRC,"3,300.00",0.0,"3,300.00",San José,,,CR,,
GPA.3300-4453-2226-47130,2021-11-05,1636075984,Charged,flame,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.34,5.83,Springfield,MA,01103,US,,
GPA.3304-3815-7381-97171,2021-11-05,1636076010,Charged,flame,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,USD,3.49,0.22,3.71,Springfield,MA,01103,US,,
GPA.3351-7360-2570-83142,2021-11-05,1636078589,Charged,a71,Unlock Character Manager (D20 Complete Reference),com.vansteinengroentjes.apps.ddcompletereference,inapp,unlockcharactermanager,CAD,2.40,0.31,2.71,Hanover,ON,N4N 2G2,CA,,
GPA.3315-7380-1913-67411,2021-11-05,1636078609,Charged,a71,"Unlock DM tools, Dice tools and remove ads. (D20 Complete Reference)",com.vansteinengroentjes.apps.ddcompletereference,inapp,premium,CAD,3.69,0.48,4.17,Hanover,ON,N4N 2G2,CA,,
GPA.3367-8969-3867-49678,2021-11-05,1636083307,Charged,crosshatch,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,USD,3.49,0.26,3.75,UNINCORPORATED,MN,55387,US,,
GPA.3385-6056-5587-73985,2021-11-05,1636085566,Charged,d2q,Character Manager (Complete Reference for Pathfinder 2),com.vansteinengroentjes.pathfindertwo,inapp,charpf2,USD,5.49,0.0,5.49,Owasso,OK,74055,US,,
GPA.3338-6622-2219-11448,2021-11-05,1636091850,Charged,p3q,Dungeon Master Tools (Complete Reference for Pathfinder 2),com.vansteinengroentjes.pathfindertwo,inapp,dmtoolspf2,USD,3.49,0.21,3.70,Catawissa,PA,17820,US,,
GPA.3398-4175-8074-07468,2021-11-05,1636098945,Charged,bramble,Dungeon Master Tools (Complete Reference for Pathfinder 2),com.vansteinengroentjes.pathfindertwo,inapp,dmtoolspf2,USD,3.49,0.35,3.84,TACOMA,WA,98409,US,,
GPA.3336-1778-3503-48217,2021-11-05,1636105436,Charged,H8416,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,GBP,3.49,0.7,4.19,,,,GB,,
GPA.3300-2500-1717-80501,2021-11-05,1636116134,Charged,d2q,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.0,5.49,Fort Collins,CO,80525,US,,
GPA.3385-1031-2598-52596,2021-11-05,1636128899,Charged,dream2lte,Dungeon Master Tools (Complete Reference for Pathfinder 2),com.vansteinengroentjes.pathfindertwo,inapp,dmtoolspf2,EUR,2.45,0.54,2.99,,,,IT,,
GPA.3326-0063-7250-76657,2021-11-05,1636145872,Charged,a21,Character Manager (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,inapp,unlockcharactermanager,USD,1.99,0.12,2.11,HODGENVILLE,KY,42748,US,,
